product_id,sku_code,product_name,category,sub_category,brand,unit_price,cost_price,must_sell_flag,launch_date
1,SKU-BEV-SOF-001,P&G Soft Drinks Classic 1kg,Beverages,Soft Drinks,P&G,152.01,90.39,False,2023-11-24
2,SKU-BEV-SOF-002,Colgate Soft Drinks Classic 250g,Beverages,Soft Drinks,Colgate,222.52,123.71,True,2023-06-02
3,SKU-BEV-SOF-003,Marico Soft Drinks Classic 250g,Beverages,Soft Drinks,Marico,115.44,78.5,False,2022-08-14
4,SKU-BEV-SOF-004,Amul Soft Drinks Gold 1L,Beverages,Soft Drinks,Amul,408.53,225.22,False,2023-03-09
5,SKU-BEV-JUI-001,Dabur Juices Lite 500ml,Beverages,Juices,Dabur,123.35,86.68,True,2023-01-25
6,SKU-BEV-JUI-002,P&G Juices Lite 1L,Beverages,Juices,P&G,309.79,220.39,False,2023-07-04
7,SKU-BEV-JUI-003,P&G Juices Max 200ml,Beverages,Juices,P&G,284.98,204.01,False,2023-01-06
8,SKU-BEV-JUI-004,Marico Juices Premium 1kg,Beverages,Juices,Marico,53.39,36.43,False,2022-03-23
9,SKU-BEV-BOT-001,PepsiCo Bottled Water Classic 100g,Beverages,Bottled Water,PepsiCo,153.43,103.89,False,2023-01-15
10,SKU-BEV-BOT-002,Dabur Bottled Water Premium 1kg,Beverages,Bottled Water,Dabur,148.15,109.24,False,2023-09-16
11,SKU-BEV-BOT-003,Nestle Bottled Water Gold 1kg,Beverages,Bottled Water,Nestle,137.51,88.34,True,2023-10-18
12,SKU-BEV-BOT-004,Colgate Bottled Water Premium 1kg,Beverages,Bottled Water,Colgate,175.66,123.61,True,2022-02-02
13,SKU-BEV-ENE-001,Dabur Energy Drinks Max 1L,Beverages,Energy Drinks,Dabur,51.77,37.93,False,2022-11-19
14,SKU-BEV-ENE-002,PepsiCo Energy Drinks Natural 100g,Beverages,Energy Drinks,PepsiCo,209.9,153.84,False,2022-09-29
15,SKU-BEV-ENE-003,Nestle Energy Drinks Premium 1kg,Beverages,Energy Drinks,Nestle,289.46,174.41,False,2023-08-21
16,SKU-BEV-ENE-004,Britannia Energy Drinks Lite 500ml,Beverages,Energy Drinks,Britannia,498.72,288.09,False,2022-02-18
17,SKU-SNA-CHI-001,P&G Chips Premium 1kg,Snacks,Chips,P&G,96.79,66.41,False,2023-01-30
18,SKU-SNA-CHI-002,Britannia Chips Gold 100g,Snacks,Chips,Britannia,273.97,203.89,False,2022-01-12
19,SKU-SNA-CHI-003,P&G Chips Natural 250g,Snacks,Chips,P&G,380.42,267.71,False,2022-10-28
20,SKU-SNA-CHI-004,Britannia Chips Premium 100g,Snacks,Chips,Britannia,21.56,14.97,False,2023-05-28
21,SKU-SNA-BIS-001,Nestle Biscuits Gold 200ml,Snacks,Biscuits,Nestle,437.85,266.95,False,2023-09-16
22,SKU-SNA-BIS-002,PepsiCo Biscuits Premium 1L,Snacks,Biscuits,PepsiCo,386.01,253.95,False,2023-06-28
23,SKU-SNA-BIS-003,HUL Biscuits Gold 1L,Snacks,Biscuits,HUL,254.53,145.69,False,2022-11-11
24,SKU-SNA-BIS-004,PepsiCo Biscuits Classic 500ml,Snacks,Biscuits,PepsiCo,441.44,326.4,True,2023-05-13
25,SKU-SNA-NAM-001,P&G Namkeen Gold 500ml,Snacks,Namkeen,P&G,81.63,52.66,False,2022-09-29
26,SKU-SNA-NAM-002,Colgate Namkeen Gold 100g,Snacks,Namkeen,Colgate,482.89,355.3,False,2022-07-25
27,SKU-SNA-NAM-003,ITC Namkeen Max 1kg,Snacks,Namkeen,ITC,331.94,211.65,False,2022-05-04
28,SKU-SNA-NAM-004,PepsiCo Namkeen Premium 200ml,Snacks,Namkeen,PepsiCo,182.28,121.7,True,2022-08-14
29,SKU-SNA-CHO-001,HUL Chocolates Classic 1kg,Snacks,Chocolates,HUL,322.93,192.4,False,2022-12-05
